class, difficulty, helpfulness
ENG112 2 5
FOODSCI265 2 5
EDUC687 3 4
ENGLWRIT112 4 4
ECE325 2 5
POLISCI391LP 4 1
ECE371 3 3
NRC297F 3 4
CS520 3 1
164h 5 3
AFROAM101 2 4
EDUC210 2 4
ENG112 2 4
ENL376 2 5
COMM375 3 5
MS302 3 5
N432 3 3
ECON102 4 1
AFST220 5 5
CS121DISC 1 5
SCH3 3 5
CW112H 2 5
ECON203 3 5
FRENCH120 4 2
CW254 2 5
191HFA3 1 5
ECON309 2 5
SBS297A 3 5
ENGLWRIT112 1 5
SPAN110 2 5
ASTRON101 4 3
CS250 3 4
ECONUA2383 2 2
EDUC210 3 5
FRENCHST240 2 4
ENG112 3 5
MATH235 2 4
ECON104 3 5
ENG132 4 4
PHIL164 3 4
COMPSCI190D 3 5
MATH132 3 3
CS320 1 4
SOC345 2 5
FRNCH240 3 5
ACCT221 2 5
120 3 5
494BI 3 4
ENGWRIT112 2 4
FILMSTUD371 3 5
CW112 2 5
PSYCH350 5 1
SPC697 3 5
BIO397N 4 5
NATSCI387 2 5
MIE273 2 5
EDUC391R 2 3
LING201 2 5
ENGLWRT112 2 5
LANDARCH191 3 5
PSYCH391AD 3 5
ASTRO452 2 5
121Econ 1 3
SCH-MGMT310 3 1
SOCIOL292 3 2
CS412 3 5
POLISCI181 3 3
HIST154 3 3
397V 3 2
CS348 3 4
Eng-254 1 5
CHEM266 5 5
STOCKSCH398 4 1
CEE320 4 2
MATH105 2 5
CS110 4 2
ANIMALSCI581H 4 5
SOCIOL241 2 3
MGMT494 5 1
601 2 5
FRENCH230 2 4
LINGU201 3 5
CW112 3 5
MAN101 2 3
HMFNART191FA56 2 4
SUSTCOMM333 5 1
CS250 4 2
KIN110 2 5
ANTHR102 4 5
PLSOI235 1 5
EDUC325 3 5
POLISCI111 2 4
CW112 3 5
ANSCI366 2 5
ENGIN191 3 2
COMPLIT141 3 4
HPP524 2 4
STOOB 5 5
JUDAI194C 1 5
ENGIN191 2 3
LING201 2 5
COMM226 4 2
SPAN110 3 2
WRIT112 2 5
MGMT314 2 4
CLASS102 4 1
MATH331 3 1
PSYCH240 3 5
COMDI132 4 5
ENLGWRIT112 3 5
MATH127 3 1
382 5 1
PUBHLTH490C 2 4
ECON203 4 3
SPANISH120 3 4
CHE401 3 1
MIE273 4 3
ENGLISH112 2 4
ENG112 2 5
MATH331 3 2
PHYS1210 3 4
BIO421 3 5
MUSIC170H 3 4
HPP507 3 5
FRENC240 4 5
KIN355 3 4
PHIL383 4 5
KIN470 3 5
COMM260 2 5
ART370 1 5
SCHMGMT191T 2 5
PORTUGUESE126 1 5
ENGL781 1 5
493S 3 5
KIN236 4 2
NUT130 2 5
PSYCH350 5 2
197C 3 5
CLASSICS224 4 1
SOC105 3 5
CLASSICS328 3 5
EDUC524 1 3
MIE354 5 1
COMPSCI121 2 5
NATSCI191 1 5
STOCKBRIDGE281 2 5
HISTORY154 2 5
EDUC395A 3 5
ENGIN391 1 5
FRENCHST120 3 3
ghg 4 1
SOC110 3 5
ENGLWRIT112 2 5
132 1 5
KIN440 3 5
PSYCH392 3 4
POLSCI271 3 5
ARTS-EXT503 3 5
ENGWRIT112 2 5
CICS291T 3 1
educ425 3 3
ECON397BE 3 5
WGSS201 2 5
PUBHLTH129 1 1
SRVCLRNG293 1 5
PSYCH315 2 5
PHIL164 2 3
Spanish340 3 3
ANTHRO312 3 5
297F 1 5
LABOR201 2 4
POLISH110 1 5
468 3 5
OIM240 1 4
SOC245 4 5
ORGO269 5 1
SPAN240 2 5
UNIVERSITY197J 2 5
OIM452 2 5
JOURNAL-336 5 2
322 5 2
OIM325 4 2
STOCKSCH-117 2 4
FS391C 2 3
NRC494 3 5
NatiSci191 2 5
EDUC229 1 2
EDUC376 2 5
EPI635 3 1
MKT-426 2 5
COMPLIT-100 3 2
ART230 4 1
115H 1 5
PSCYH100 2 5
161H 4 3
CHEM269 3 1
BIO551 4 5
CHEM112 1 5
321 3 5
UWW222 2 5
394LE 5 1
PSYCH330 2 5
203 3 5
203 5 1
BIOCHEM275 4 4
PHYSICS131 2 5
BIO280 4 1
INFO248 1 4
COMPSCI230 4 1
CHEM101 4 1
CS121 1 5
ECON101 5 5
ASTRON170H 3 4
201H 3 5
WGSS293D 3 5
ECE122 3 3
STAT516 3 3
COMPLIT 3 5
CHEM101 4 2
HISTORY112H 3 3
COMM121 4 2
POLSI397 3 5
343H 3 3
CICS210 5 5
POL121 2 1
SOCIOL342 2 2
MATH235 4 1
MARKETING 4 4
BIO424 3 5
MATH132 5 2
POL345 3 5
ENG112 1 5
ENG221 3 5
ANSCI101 3 5
ECE214 3 5
387K 2 5
HTM471 3 5
CS377 2 1
ANIMLSCI285 4 3
PHYSICS114 4 4
ECON103 1 5
204 3 5
ANTHO297H 5 1
CHEM261 3 5
550 4 2
CS445 3 3
EDUC192A 1 5
SPP203 3 1
STATS-515 4 1
BIOCHEM420 1 2
MGMNT719 2 5
PHYSGEO01 3 1
201H 5 1
GEO105 1 3
HIST162 4 5
ENG270 4 1
ANTHRO100 2 4
BIO523 3 5
KIN110 2 5
GEOGRAPH110 3 4
PSYCH360 2 1
math6b 5 2
HIST325 1 2
ACCOUNTING222 3 5
STPEC391H 3 5
PH129 2 5
SOC110 3 5
261 4 3
LEGAL482 2 5
MATH300 3 5
HIST260 5 2
OIM-451 4 3
ENG300 2 5
POLISCI280 2 5
BIO288 3 3
ASTRON101 2 5
CEE121 2 5
ITAL120 2 4
MATH2210 3 5
EDUC167 2 5
MATH456 3 5
ECON105 4 4
270 3 1
GEO100 3 2
CALC127 4 3
CHEM423 2 3
ACCOUNTING321 2 4
GEOSC103 2 5
AVANTGARDEFILM 3 5
MATH300 2 5
191FPH 1 5
PYSCH100 2 4
OIM210 2 4
391AH 4 2
MATH128 3 2
MATH131MATH132 4 5
CALC127 4 1
PHYS286 4 5
221 2 3
GERMAN425 3 5
PSYCH315H 3 3
MATH132 5 1
PSYCH360 2 2
ENG358 2 4
PHYS152 2 2
GEO103 2 3
ECON202 3 2
PHYS281 3 5
613ANDTEAMS 2 5
HTM356 2 5
MICRO320 5 4
PRIVATELESSONS 1 5
FS102 1 5
ENG132 2 5
PHIL330 4 5
POLI130 3 3
FS103 2 4
Managmt494BI 1 5
